min,first-quarter,median,third-quarter,max
0.770833333,0.770833333,0.770833333,0.770833333,0.895833333
0.772727273,0.772727273,0.772727273,0.909090909,0.909090909
0.666666667,0.777777778,0.777777778,0.777777778,1
0.777777778,0.777777778,0.777777778,0.777777778,1
0.777777778,0.777777778,0.777777778,0.777777778,1
0.785714286,0.785714286,0.785714286,0.785714286,0.904761905
0.785714286,0.785714286,0.785714286,1,1
0.789473684,0.789473684,0.789473684,0.842105263,0.894736842
0.806451613,0.806451613,0.806451613,0.806451613,0.806451613
0.8125,0.8125,0.8125,0.8125,0.8125
0.296296296,0.296296296,0.814814815,0.814814815,1
0.823529412,0.823529412,0.823529412,1,1
0.826086957,0.826086957,0.826086957,0.826086957,0.826086957
0.555555556,0.833333333,0.833333333,0.833333333,0.833333333
0.833333333,0.833333333,0.833333333,1,1
0.833333333,0.833333333,0.833333333,0.833333333,1
0.833333333,0.833333333,0.833333333,0.833333333,0.833333333
0.093023256,0.837209302,0.837209302,1,1
0.84375,0.84375,0.84375,0.90625,0.90625
0.846153846,0.846153846,0.846153846,0.897435897,0.897435897
0.846153846,0.846153846,0.846153846,0.897435897,0.897435897
0.673913043,0.847826087,0.847826087,0.956521739,0.956521739
0.814814815,0.851851852,0.851851852,1,1
0.851851852,0.851851852,0.851851852,0.851851852,0.851851852
0.851851852,0.851851852,0.851851852,0.851851852,0.851851852
0.851851852,0.851851852,0.851851852,0.925925926,0.925925926
0.857142857,0.857142857,0.857142857,0.857142857,1
0.857142857,0.857142857,0.857142857,0.857142857,0.857142857
0.54,0.86,0.86,0.86,0.86
0.862068966,0.862068966,0.862068966,0.862068966,0.862068966
0.117647059,0.862745098,0.862745098,0.862745098,0.862745098
0.863636364,0.863636364,0.863636364,1,1
0.863636364,0.863636364,0.863636364,0.863636364,0.863636364
0.826086957,0.869565217,0.869565217,0.869565217,0.869565217
0.869565217,0.869565217,0.869565217,0.869565217,0.869565217
0.869565217,0.869565217,0.869565217,1,1
0.40625,0.875,0.875,0.875,0.875
0.791666667,0.875,0.875,0.875,0.875
0.85,0.875,0.875,0.875,0.975
0.875,0.875,0.875,0.875,0.875
0.875,0.875,0.875,0.875,0.875
0.875,0.875,0.875,0.875,0.875
0.875,0.875,0.875,0.875,0.875
0.875,0.875,0.875,1,1
0.696969697,0.878787879,0.878787879,0.878787879,0.878787879
0.88,0.88,0.88,0.88,0.88
0.30952381,0.30952381,0.880952381,0.880952381,0.880952381
0.30952381,0.30952381,0.880952381,0.880952381,0.880952381
0.411764706,0.411764706,0.882352941,0.882352941,0.882352941
0.882352941,0.882352941,0.882352941,0.882352941,0.882352941
0.882352941,0.882352941,0.882352941,0.882352941,0.882352941
0.882352941,0.882352941,0.882352941,0.882352941,0.882352941
0.882352941,0.882352941,0.882352941,0.882352941,0.882352941
0.888888889,0.888888889,0.888888889,0.888888889,0.888888889
0.760869565,0.891304348,0.891304348,0.934782609,0.934782609
0.760869565,0.891304348,0.891304348,0.934782609,0.934782609
0.857142857,0.892857143,0.892857143,0.892857143,0.892857143
0.857142857,0.892857143,0.892857143,0.892857143,0.892857143
0.894736842,0.894736842,0.894736842,0.894736842,0.894736842
0.894736842,0.894736842,0.894736842,0.894736842,0.894736842
0.9,0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9,0.9
0.843137255,0.843137255,0.901960784,0.901960784,0.901960784
0.80952381,0.904761905,0.904761905,0.904761905,1
0.857142857,0.904761905,0.904761905,0.904761905,0.904761905
0.771428571,0.914285714,0.914285714,0.914285714,0.914285714
