p1,p2,p3,p4,p5,p6,p7,p8,p9,,,,
0.294117647,0.296296296,0.416666667,0.333333333,0.419354839,0.333333333,0.388888889,0.172413793,0.310344828,,,,
0.31372549,0.296296296,0.416666667,0.333333333,0.419354839,0.388888889,0.388888889,0.206896552,0.310344828,,,,
0.333333333,0.296296296,0.444444444,0.333333333,0.451612903,0.444444444,0.416666667,0.24137931,0.327586207,,,,
0.352941176,0.296296296,0.444444444,0.333333333,0.451612903,0.5,0.416666667,0.275862069,0.327586207,,,,
0.352941176,0.296296296,0.472222222,0.333333333,0.451612903,0.555555556,0.416666667,0.275862069,0.327586207,,,,
0.37254902,0.296296296,0.472222222,0.333333333,0.451612903,0.611111111,0.416666667,0.310344828,0.344827586,,,,
0.392156863,0.314814815,0.5,0.333333333,0.451612903,0.611111111,0.416666667,0.344827586,0.362068966,,,,
0.411764706,0.314814815,0.527777778,0.333333333,0.451612903,0.611111111,0.416666667,0.379310345,0.362068966,,,,
0.431372549,0.333333333,0.527777778,0.333333333,0.451612903,0.611111111,0.416666667,0.413793103,0.362068966,,,,
0.450980392,0.351851852,0.527777778,0.333333333,0.451612903,0.611111111,0.444444444,0.448275862,0.362068966,,,,
0.470588235,0.351851852,0.555555556,0.333333333,0.451612903,0.611111111,0.444444444,0.448275862,0.379310345,,,,
0.470588235,0.351851852,0.583333333,0.333333333,0.451612903,0.666666667,0.444444444,0.448275862,0.379310345,,,,
0.490196078,0.351851852,0.611111111,0.333333333,0.451612903,0.666666667,0.444444444,0.448275862,0.379310345,,,,
0.490196078,0.351851852,0.611111111,0.333333333,0.451612903,0.666666667,0.444444444,0.448275862,0.379310345,,,,
0.490196078,0.351851852,0.611111111,0.333333333,0.451612903,0.666666667,0.472222222,0.482758621,0.379310345,,,,
0.490196078,0.351851852,0.611111111,0.333333333,0.451612903,0.666666667,0.472222222,0.482758621,0.379310345,,,,
0.490196078,0.37037037,0.638888889,0.333333333,0.451612903,0.666666667,0.472222222,0.482758621,0.379310345,,,,
0.509803922,0.37037037,0.638888889,0.333333333,0.451612903,0.666666667,0.5,0.482758621,0.379310345,,,,
0.509803922,0.37037037,0.638888889,0.333333333,0.451612903,0.666666667,0.5,0.517241379,0.396551724,,,,
0.509803922,0.37037037,0.638888889,0.333333333,0.451612903,0.666666667,0.527777778,0.517241379,0.396551724,,,,
0.509803922,0.37037037,0.638888889,0.333333333,0.451612903,0.666666667,0.527777778,0.551724138,0.396551724,,,,
0.529411765,0.37037037,0.638888889,0.333333333,0.451612903,0.666666667,0.555555556,0.586206897,0.413793103,,,,
0.529411765,0.37037037,0.666666667,0.333333333,0.451612903,0.666666667,0.583333333,0.586206897,0.413793103,,,,
0.549019608,0.37037037,0.666666667,0.333333333,0.451612903,0.666666667,0.583333333,0.620689655,0.431034483,,,,
0.568627451,0.37037037,0.666666667,0.333333333,0.451612903,0.666666667,0.583333333,0.620689655,0.431034483,,,,
0.568627451,0.37037037,0.666666667,0.333333333,0.451612903,0.666666667,0.583333333,0.655172414,0.448275862,,,,
0.568627451,0.388888889,0.666666667,0.333333333,0.451612903,0.666666667,0.583333333,0.655172414,0.448275862,,,,
0.568627451,0.388888889,0.666666667,0.333333333,0.451612903,0.666666667,0.611111111,0.689655172,0.448275862,,,,
0.568627451,0.388888889,0.694444444,0.333333333,0.451612903,0.666666667,0.611111111,0.724137931,0.448275862,,,,
0.568627451,0.388888889,0.722222222,0.333333333,0.451612903,0.666666667,0.638888889,0.724137931,0.448275862,,,,
0.568627451,0.407407407,0.722222222,0.333333333,0.451612903,0.666666667,0.638888889,0.724137931,0.448275862,,,,
0.568627451,0.407407407,0.722222222,0.333333333,0.451612903,0.666666667,0.666666667,0.724137931,0.465517241,,,,
0.568627451,0.407407407,0.75,0.333333333,0.451612903,0.666666667,0.666666667,0.724137931,0.465517241,,,,
0.568627451,0.425925926,0.75,0.333333333,0.451612903,0.666666667,0.666666667,0.724137931,0.482758621,,,,
0.588235294,0.425925926,0.75,0.333333333,0.451612903,0.666666667,0.694444444,0.724137931,0.482758621,,,,
0.588235294,0.444444444,0.75,0.333333333,0.451612903,0.666666667,0.694444444,0.724137931,0.482758621,,,,
0.588235294,0.462962963,0.75,0.333333333,0.451612903,0.666666667,0.694444444,0.724137931,0.5,,,,
0.588235294,0.462962963,0.75,0.333333333,0.451612903,0.666666667,0.694444444,0.724137931,0.5,,,,
0.588235294,0.462962963,0.777777778,0.333333333,0.451612903,0.666666667,0.694444444,0.724137931,0.517241379,,,,
0.588235294,0.462962963,0.777777778,0.333333333,0.451612903,0.666666667,0.722222222,0.724137931,0.517241379,,,,
