 ,  ,number
Mth,F1,0.5026737967914439
Mth,%bugs,1.0
Mth,%effort,0.007117437722419906
Mth,F1,0.50355871886121
Mth,%bugs,0.8333333333333334
Mth,%effort,0.6363636363636364
Mth,F1,0.7348484848484849
Mth,%bugs,0.8333333333333334
Mth,%effort,0.6363636363636364
Mth,F1,0.7348484848484849
Mth,%bugs,0.967741935483871
Mth,%effort,0.472
Mth,F1,0.7198709677419355
Mth,%bugs,0.967741935483871
Mth,%effort,0.472
Mth,F1,0.7198709677419355
Mth,%bugs,1.0
Mth,%effort,0.2432432432432432
Mth,F1,0.6216216216216216
Mth,%bugs,1.0
Mth,%effort,0.2432432432432432
Mth,F1,0.6216216216216216
Mth,%bugs,0.96
Mth,%effort,0.4439024390243902
Mth,F1,0.7019512195121951
Mth,%bugs,0.96
Mth,%effort,0.4439024390243902
Mth,F1,0.7019512195121951
Mth,%bugs,1.0
Mth,%effort,0.24193548387096775
Mth,F1,0.6209677419354839
Mth,%bugs,1.0
Mth,%effort,0.24193548387096775
Mth,F1,0.6209677419354839
Mth,%bugs,0.8421052631578947
Mth,%effort,0.368421052631579
Mth,F1,0.6052631578947368
Mth,%bugs,0.8421052631578947
Mth,%effort,0.368421052631579
Mth,F1,0.6052631578947368
Mth,%bugs,0.9259259259259259
Mth,%effort,0.41538461538461535
Mth,F1,0.6706552706552706
Mth,%bugs,0.8928571428571429
Mth,%effort,0.3908629441624365
Mth,F1,0.6418600435097896
Mth,%bugs,0.8461538461538461
Mth,%effort,0.6320754716981132
Mth,F1,0.7391146589259796
Mth,%bugs,0.8461538461538461
Mth,%effort,0.6320754716981132
Mth,F1,0.7391146589259796
Mth,%bugs,1.0
Mth,%effort,0.1649484536082474
Mth,F1,0.5824742268041236
Mth,%bugs,1.0
Mth,%effort,0.1649484536082474
Mth,F1,0.5824742268041236
Mth,%bugs,1.0
Mth,%effort,0.013698630136986356
Mth,F1,0.5068493150684932
Mth,%bugs,0.9523809523809523
Mth,%effort,0.11409395973154357
Mth,F1,0.533237456056248
Mth,%bugs,0.96875
Mth,%effort,0.2183908045977011
Mth,F1,0.5935704022988506
Mth,%bugs,0.96875
Mth,%effort,0.2183908045977011
Mth,F1,0.5935704022988506
Mth,%bugs,1.0
Mth,%effort,0.1984732824427481
Mth,F1,0.5992366412213741
Mth,%bugs,1.0
Mth,%effort,0.1984732824427481
Mth,F1,0.5992366412213741
Mth,%bugs,1.0
Mth,%effort,0.11956521739130432
Mth,F1,0.5597826086956521
Mth,%bugs,1.0
Mth,%effort,0.11956521739130432
Mth,F1,0.5597826086956521
Mth,%bugs,0.4666666666666667
Mth,%effort,0.7413793103448276
Mth,F1,0.6040229885057471
Mth,%bugs,0.4666666666666667
Mth,%effort,0.7413793103448276
Mth,F1,0.6040229885057471
Mth,%bugs,0.3333333333333333
Mth,%effort,0.8
Mth,F1,0.5666666666666667
Mth,%bugs,0.5
Mth,%effort,0.7482517482517482
Mth,F1,0.6241258741258742
