type,thres,value
cost,0.7,50
cost,0.8,63
cost,0.9,77
cost,1,78
cost,0.6,59
cost,0.7,86
cost,0.8,126
cost,0.9,163
cost,1,233
cost,0.6,74
cost,0.7,95
cost,0.8,131
cost,0.9,165
cost,1,223
cost,0.6,43
cost,0.7,74
cost,0.8,85
cost,0.9,125
cost,1,148
cost,0.6,32
cost,0.7,38
cost,0.8,46
cost,0.9,90
cost,1,124
cost,0.6,46
cost,0.7,87
cost,0.8,131
cost,0.9,169
cost,1,217
cost,0.6,31
cost,0.7,40
cost,0.8,62
cost,0.9,74
cost,1,92
cost,0.6,63
cost,0.7,80
cost,0.8,85
cost,0.9,140
cost,1,219
cost,0.6,92
cost,0.7,111
cost,0.8,146
cost,0.9,185
cost,1,325
cost,0.6,68
cost,0.7,83
cost,0.8,94
cost,0.9,108
cost,1,141
cost,0.6,51
cost,0.7,78
cost,0.8,106
cost,0.9,141
cost,1,262
cost,0.6,38
cost,0.7,60
cost,0.8,92
cost,0.9,111
cost,1,242
cost,0.6,34
cost,0.7,42
cost,0.8,43
cost,0.9,92
cost,1,101
cost,0.6,30
cost,0.7,37
cost,0.8,44
cost,0.9,78
cost,1,130
cost,0.6,111
cost,0.7,122
cost,0.8,145
cost,0.9,165
cost,1,243
cost,0.6,72
cost,0.7,77
cost,0.8,153
cost,0.9,193
cost,1,277
cost,0.6,37
cost,0.7,54
cost,0.8,64
cost,0.9,93
cost,1,119
cost,0.6,59
cost,0.7,87
cost,0.8,105
cost,0.9,152
cost,1,239
cost,0.6,35
cost,0.7,36
cost,0.8,47
cost,0.9,71
cost,1,77
cost,0.6,31
cost,0.7,37
cost,0.8,41
cost,0.9,59
cost,1,90
cost,0.6,49
cost,0.7,58
cost,0.8,125
cost,0.9,156
cost,1,219
cost,0.6,30
cost,0.7,50
cost,0.8,66
cost,0.9,83
cost,1,177
cost,0.6,58
cost,0.7,67
cost,0.8,119
cost,0.9,142
cost,1,233
cost,0.6,89
cost,0.7,121
cost,0.8,165
cost,0.9,212
cost,1,264
cost,0.6,70
cost,0.7,95
cost,0.8,115
cost,0.9,148
cost,1,169
cost,0.6,49
cost,0.7,59
cost,0.8,79
cost,0.9,106
cost,1,143
cost,0.6,44
cost,0.7,61
cost,0.8,92
cost,0.9,128
cost,1,170
cost,0.6,57
cost,0.7,77
cost,0.8,112
cost,0.9,167
cost,1,251
cost,0.6,91
cost,0.7,106
cost,0.8,124
cost,0.9,214
cost,1,396
cost,0.6,76
cost,0.7,103
cost,0.8,153
cost,0.9,242
cost,1,369
cost,0.6,82
cost,0.7,89
cost,0.8,136
cost,0.9,213
cost,1,269
cost,0.6,62
cost,0.7,84
cost,0.8,164
cost,0.9,253
cost,1,375
cost,0.6,61
cost,0.7,85
cost,0.8,104
cost,0.9,146
cost,1,266
cost,0.6,77
cost,0.7,90
cost,0.8,122
cost,0.9,173
cost,1,203
cost,0.6,76
cost,0.7,81
cost,0.8,87
cost,0.9,139
cost,1,225
cost,0.6,76
cost,0.7,81
cost,0.8,87
cost,0.9,139
cost,1,225
cost,0.6,45
cost,0.7,54
cost,0.8,82
cost,0.9,121
cost,1,227
cost,0.6,56
cost,0.7,68
cost,0.8,87
cost,0.9,126
cost,1,232
cost,0.6,13
cost,0.7,20
cost,0.8,26
cost,0.9,47
cost,1,77
cost,0.6,13
cost,0.7,20
cost,0.8,26
cost,0.9,47
cost,1,77
cost,0.6,165
cost,0.7,206
cost,0.8,265
cost,0.9,435
cost,1,682
cost,0.6,110
cost,0.7,118
cost,0.8,127
cost,0.9,142
cost,1,216
cost,0.6,207
cost,0.7,212
cost,0.8,227
cost,0.9,249
cost,1,304
cost,0.6,79
cost,0.7,127
cost,0.8,170
cost,0.9,244
cost,1,338
cost,0.6,79
cost,0.7,127
cost,0.8,170
cost,0.9,244
cost,1,338
cost,0.6,52
cost,0.7,67
cost,0.8,100
cost,0.9,196
cost,1,260
cost,0.6,52
cost,0.7,67
cost,0.8,100
cost,0.9,196
cost,1,260
cost,0.6,57
cost,0.7,75
cost,0.8,112
cost,0.9,162
cost,1,188
cost,0.6,57
cost,0.7,75
cost,0.8,112
cost,0.9,162
cost,1,188
cost,0.6,35
cost,0.7,47
cost,0.8,61
cost,0.9,127
cost,1,161
cost,0.6,35
cost,0.7,47
cost,0.8,61
cost,0.9,127
cost,1,161
cost,0.6,28
cost,0.7,35
cost,0.8,48
cost,0.9,90
cost,1,120
cost,0.6,28
cost,0.7,35
cost,0.8,48
cost,0.9,90
cost,1,120
cost,0.6,124
cost,0.7,162
cost,0.8,239
cost,0.9,306
cost,1,363
cost,0.6,124
cost,0.7,160
cost,0.8,220
cost,0.9,283
cost,1,504
cost,0.6,13
cost,0.7,19
cost,0.8,22
cost,0.9,31
cost,1,75
cost,0.6,13
cost,0.7,19
cost,0.8,22
cost,0.9,31
cost,1,75
cost,0.6,32
cost,0.7,39
cost,0.8,51
cost,0.9,73
cost,1,166
cost,0.6,32
cost,0.7,39
cost,0.8,51
cost,0.9,73
cost,1,166
cost,0.6,29
cost,0.7,32
cost,0.8,45
cost,0.9,68
cost,1,147
cost,0.6,29
cost,0.7,32
cost,0.8,45
cost,0.9,68
cost,1,147
cost,0.6,31
cost,0.7,48
cost,0.8,53
cost,0.9,77
cost,1,130
cost,0.6,31
cost,0.7,48
cost,0.8,53
cost,0.9,77
cost,1,130
cost,0.6,59
cost,0.7,74
cost,0.8,103
cost,0.9,148
cost,1,252
cost,0.6,59
cost,0.7,74
cost,0.8,103
cost,0.9,148
cost,1,252
cost,0.6,33
cost,0.7,40
cost,0.8,45
cost,0.9,84
cost,1,95
cost,0.6,33
cost,0.7,40
cost,0.8,45
cost,0.9,84
cost,1,95
cost,0.6,40
cost,0.7,58
cost,0.8,74
cost,0.9,100
cost,1,154
cost,0.6,33
cost,0.7,56
cost,0.8,67
cost,0.9,102
cost,1,156
cost,0.6,33
cost,0.7,40
cost,0.8,51
cost,0.9,71
cost,1,160
cost,0.6,33
cost,0.7,40
cost,0.8,51
cost,0.9,71
cost,1,160
cost,0.6,34
cost,0.7,38
cost,0.8,58
cost,0.9,79
cost,1,142
cost,0.6,34
cost,0.7,38
cost,0.8,58
cost,0.9,79
cost,1,142
cost,0.6,41
cost,0.7,51
cost,0.8,80
cost,0.9,86
cost,1,120
cost,0.6,46
cost,0.7,63
cost,0.8,83
cost,0.9,92
cost,1,123
cost,0.6,46
cost,0.7,69
cost,0.8,87
cost,0.9,136
cost,1,226
cost,0.6,46
cost,0.7,69
cost,0.8,87
cost,0.9,136
cost,1,226
cost,0.6,65
cost,0.7,74
cost,0.8,80
cost,0.9,126
cost,1,168
cost,0.6,65
cost,0.7,74
cost,0.8,80
cost,0.9,126
cost,1,168
cost,0.6,40
cost,0.7,59
cost,0.8,76
cost,0.9,89
cost,1,122
cost,0.6,40
cost,0.7,59
cost,0.8,76
cost,0.9,89
cost,1,122
cost,0.6,29
cost,0.7,42
cost,0.8,46
cost,0.9,57
cost,1,67
cost,0.6,29
cost,0.7,42
cost,0.8,46
cost,0.9,57
cost,1,67
cost,0.6,36
cost,0.7,56
cost,0.8,68
cost,0.9,94
cost,1,122
cost,0.6,16
cost,0.7,20
cost,0.8,41
cost,0.9,47
cost,1,84
cost,0.6,16
cost,0.7,20
cost,0.8,41
cost,0.9,47
cost,1,84
cost,0.6,24
cost,0.7,30
cost,0.8,49
cost,0.9,79
cost,1,103
cost,0.6,24
cost,0.7,30
cost,0.8,49
cost,0.9,79
cost,1,103
cost,0.6,24
cost,0.7,30
cost,0.8,52
cost,0.9,110
cost,1,163
cost,0.6,28
cost,0.7,34
cost,0.8,51
cost,0.9,60
cost,1,72
cost,0.6,24
cost,0.7,30
cost,0.8,52
cost,0.9,110
cost,1,163
cost,0.6,34
cost,0.7,61
cost,0.8,99
cost,0.9,115
cost,1,116
cost,0.6,34
cost,0.7,61
cost,0.8,99
cost,0.9,115
cost,1,116
cost,0.6,46
cost,0.7,58
cost,0.8,75
cost,0.9,83
cost,1,105
cost,0.6,46
cost,0.7,58
cost,0.8,75
cost,0.9,83
cost,1,105
cost,0.6,18
cost,0.7,32
cost,0.8,46
cost,0.9,76
cost,1,94
cost,0.6,18
cost,0.7,32
cost,0.8,46
cost,0.9,76
cost,1,94
cost,0.6,29
cost,0.7,33
cost,0.8,40
cost,0.9,73
cost,1,101
cost,0.6,29
cost,0.7,33
cost,0.8,40
cost,0.9,73
cost,1,101
cost,0.6,62
cost,0.7,71
cost,0.8,91
cost,0.9,114
cost,1,137
cost,0.6,62
cost,0.7,71
cost,0.8,91
cost,0.9,114
cost,1,137
cost,0.6,31
cost,0.7,62
cost,0.8,71
cost,0.9,100
cost,1,113
cost,0.6,31
cost,0.7,62
cost,0.8,71
cost,0.9,100
cost,1,113
cost,0.6,52
cost,0.7,57
cost,0.8,97
cost,0.9,178
cost,1,213
cost,0.6,52
cost,0.7,57
cost,0.8,97
cost,0.9,178
cost,1,213
cost,0.6,25
cost,0.7,37
cost,0.8,43
cost,0.9,48
cost,1,63
cost,0.6,25
cost,0.7,37
cost,0.8,43
cost,0.9,48
cost,1,63
cost,0.6,62
cost,0.7,73
cost,0.8,98
cost,0.9,122
cost,1,144
cost,0.6,73
cost,0.7,82
cost,0.8,96
cost,0.9,136
cost,1,165
cost,0.6,51
cost,0.7,60
cost,0.8,110
cost,0.9,131
cost,1,270
cost,0.6,59
cost,0.7,90
cost,0.8,118
cost,0.9,226
cost,1,236
cost,0.6,95
cost,0.7,106
cost,0.8,139
cost,0.9,179
cost,1,238
cost,0.6,21
cost,0.7,27
cost,0.8,33
cost,0.9,49
cost,1,76
cost,0.6,42
cost,0.7,61
cost,0.8,66
cost,0.9,117
cost,1,188
cost,0.6,62
cost,0.7,94
cost,0.8,105
cost,0.9,147
cost,1,212
cost,0.6,91
cost,0.7,114
cost,0.8,158
cost,0.9,194
cost,1,415
cost,0.6,84
cost,0.7,99
cost,0.8,112
cost,0.9,126
cost,1,150
cost,0.6,107
cost,0.7,121
cost,0.8,136
cost,0.9,174
cost,1,263
cost,0.6,28
cost,0.7,30
cost,0.8,47
cost,0.9,82
cost,1,96
cost,0.6,55
cost,0.7,65
cost,0.8,78
cost,0.9,90
cost,1,94
cost,0.6,52
cost,0.7,58
cost,0.8,82
cost,0.9,127
cost,1,218
cost,0.6,43
cost,0.7,52
cost,0.8,80
cost,0.9,89
cost,1,124
cost,0.6,41
cost,0.7,66
cost,0.8,89
cost,0.9,108
cost,1,146
cost,0.6,83
cost,0.7,90
cost,0.8,113
cost,0.9,131
cost,1,171
cost,0.6,52
cost,0.7,57
cost,0.8,63
cost,0.9,79
cost,1,85
cost,0.6,47
cost,0.7,51
cost,0.8,61
cost,0.9,67
cost,1,90
cost,0.6,64
cost,0.7,69
cost,0.8,83
cost,0.9,100
cost,1,112
cost,0.6,85
cost,0.7,120
cost,0.8,177
cost,0.9,234
cost,1,316
cost,0.6,76
cost,0.7,80
cost,0.8,104
cost,0.9,135
cost,1,175
cost,0.6,85
cost,0.7,98
cost,0.8,108
cost,0.9,133
cost,1,220
cost,0.6,17
cost,0.7,20
cost,0.8,49
cost,0.9,60
cost,1,81
cost,0.6,58
cost,0.7,65
cost,0.8,78
cost,0.9,105
cost,1,115
cost,0.6,27
cost,0.7,35
cost,0.8,45
cost,0.9,59
cost,1,92
cost,0.6,88
cost,0.7,95
cost,0.8,103
cost,0.9,128
cost,1,160
cost,0.6,46
cost,0.7,55
cost,0.8,57
cost,0.9,73
cost,1,80
cost,0.6,45
cost,0.7,52
cost,0.8,56
cost,0.9,80
cost,1,88
cost,0.6,42
cost,0.7,44
cost,0.8,58
cost,0.9,81
cost,1,97
cost,0.6,12
cost,0.7,18
cost,0.8,25
cost,0.9,27
cost,1,75
cost,0.6,23
cost,0.7,28
cost,0.8,32
cost,0.9,76
cost,1,79
cost,0.6,21
cost,0.7,28
cost,0.8,37
cost,0.9,53
cost,1,61
cost,0.6,38
cost,0.7,45
cost,0.8,59
cost,0.9,92
cost,1,118
cost,0.6,86
cost,0.7,93
cost,0.8,98
cost,0.9,105
cost,1,124
cost,0.6,77
cost,0.7,93
cost,0.8,109
cost,0.9,123
cost,1,139
cost,0.6,55
cost,0.7,56
cost,0.8,65
cost,0.9,67
cost,1,100
cost,0.6,98
cost,0.7,111
cost,0.8,118
cost,0.9,131
cost,1,144
cost,0.6,43
cost,0.7,53
cost,0.8,59
cost,0.9,64
cost,1,66
cost,0.6,70
cost,0.7,78
cost,0.8,84
cost,0.9,85
cost,1,119
cost,0.6,32
cost,0.7,44
cost,0.8,54
cost,0.9,67
cost,1,68
cost,0.6,18
cost,0.7,27
cost,0.8,59
cost,0.9,71
cost,1,82
cost,0.6,19
cost,0.7,22
cost,0.8,35
cost,0.9,48
cost,1,68
cost,0.6,34
cost,0.7,40
cost,0.8,55
cost,0.9,69
cost,1,103
cost,0.6,62
cost,0.7,71
cost,0.8,79
cost,0.9,126
cost,1,156
cost,0.6,81
cost,0.7,96
cost,0.8,103
cost,0.9,110
cost,1,126
cost,0.6,43
cost,0.7,69
cost,0.8,77
cost,0.9,99
cost,1,107
cost,0.6,37
cost,0.7,39
cost,0.8,57
cost,0.9,63
cost,1,75
cost,0.6,22
cost,0.7,29
cost,0.8,37
cost,0.9,48
cost,1,83
cost,0.6,35
cost,0.7,52
cost,0.8,56
cost,0.9,78
cost,1,112
cost,0.6,20
cost,0.7,26
cost,0.8,57
cost,0.9,68
cost,1,82
cost,0.6,23
cost,0.7,26
cost,0.8,30
cost,0.9,53
cost,1,69
cost,0.6,31
cost,0.7,40
cost,0.8,43
cost,0.9,62
cost,1,64
cost,0.6,17
cost,0.7,22
cost,0.8,27
cost,0.9,54
cost,1,87
