project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal,
299-197-bug√øøÃºÊ÷∞≤‚ ‘_1470654441.csv,23.0,28.0,0.8214285714285714,53.0,197.0,0.26903553299492383,0.7309644670050761,0.7735606679901903,0.7735606679901903,164.0,-111.0,27.0,20.0,
300-197-√øøÃºÊ÷∞≤‚ ‘_1463738080.csv,23.0,28.0,0.8214285714285714,53.0,197.0,0.26903553299492383,0.7309644670050761,0.7735606679901903,0.7735606679901903,164.0,-111.0,27.0,20.0,
327-239-∂Ø∆¿¥≤‚ ‘_1463738068.csv,8.0,29.0,0.27586206896551724,33.0,239.0,0.13807531380753138,0.8619246861924686,0.4179558711640883,0.4179558711640883,214.0,-181.0,9.0,7.0,
328-239-bug∂Ø∆¿¥≤‚ ‘_1470654454.csv,8.0,29.0,0.27586206896551724,33.0,239.0,0.13807531380753138,0.8619246861924686,0.4179558711640883,0.4179558711640883,214.0,-181.0,9.0,7.0,
338-315-bug¡⁄¡⁄V1.3.4 build≤‚ ‘_1470654409.csv,5.0,37.0,0.13513513513513514,15.0,315.0,0.047619047619047616,0.9523809523809523,0.2366863905325444,0.2366863905325444,271.0,-256.0,5.0,
343-115-bug100◊¨V1.4≤‚ ‘_1470654401.csv,8.0,16.0,0.5,10.0,115.0,0.08695652173913043,0.9130434782608696,0.6461538461538462,0.6461538461538462,77.0,-67.0,8.0,
346-214-bug–ÏÀÆ»¶V1.0.160419≤‚ ‘_1470654402.csv,10.0,25.0,0.4,19.0,214.0,0.08878504672897196,0.9112149532710281,0.5559515324305061,0.5559515324305061,189.0,-170.0,10.0,
360-277-bug—∞µΩ±¶V1.0.0≤‚ ‘_1470654368.csv,10.0,34.0,0.29411764705882354,14.0,277.0,0.05054151624548736,0.9494584837545126,0.4491120218579235,0.4491120218579235,219.0,-205.0,10.0,
361-155-bugµ¬≥…¥˚V1.0≤‚ ‘_1470654375.csv,10.0,22.0,0.45454545454545453,24.0,155.0,0.15483870967741936,0.8451612903225807,0.5911552346570397,0.5911552346570397,125.0,-101.0,10.0,
403-197-bugµ„∞Ô∞Ô≤‚ ‘_1470654349.csv,27.0,27.0,1.0,197.0,197.0,1.0,0.0,0.0,0.0,176.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,
404-270-bug√≈’Ô¥ÛÃ¸V2.6.5≤‚ ‘_1470654351.csv,33.0,33.0,1.0,270.0,270.0,1.0,0.0,0.0,0.0,221.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,82.0,
426-122-bug∂˛æ∆Õ¯V1.0≤‚ ‘_1470654340.csv,16.0,16.0,1.0,122.0,122.0,1.0,0.0,0.0,0.0,99.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,
451-109-bug’∆…œ110V1.0.0≤‚ ‘_1470654321.csv,15.0,15.0,1.0,93.0,109.0,0.8532110091743119,0.14678899082568808,0.256,0.256,93.0,0.0,0.0,11.0,20.0,
488-132-bug“◊√ÎŒ¢≈‰øÕªß∂ÀV1.0.0≤‚ ‘_1470654297.csv,12.0,18.0,0.6666666666666666,27.0,132.0,0.20454545454545456,0.7954545454545454,0.7253886010362695,0.7253886010362695,80.0,-53.0,5.0,20.0,
543-117-bugª™ ˝œÌø¥V2.1.0≤‚ ‘_1470654279.csv,14.0,14.0,1.0,117.0,117.0,1.0,0.0,0.0,0.0,101.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,
106-103-ª˘ΩÀŸ¿¿2.3≤‚ ‘_1463737575.csv,8.0,14.0,0.5714285714285714,13.0,103.0,0.1262135922330097,0.8737864077669903,0.690978886756238,0.690978886756238,67.0,-54.0,8.0,
111-241-µœ–≈Õ®≤‚ ‘∂˛_1463737590.csv,10.0,30.0,0.3333333333333333,23.0,241.0,0.0954356846473029,0.9045643153526971,0.48715083798882675,0.48715083798882675,158.0,-135.0,10.0,
113-177-Hark≤‚ ‘_1463737599.csv,10.0,24.0,0.4166666666666667,17.0,177.0,0.096045197740113,0.903954802259887,0.5704099821746881,0.5704099821746881,132.0,-115.0,10.0,
508-159-bug∫√‘∞«¯VV1.0.5≤‚ ‘_1470654289.csv,10.0,22.0,0.45454545454545453,28.0,159.0,0.1761006289308176,0.8238993710691824,0.5858676207513417,0.5858676207513417,119.0,-91.0,0.0,10.0,
442-124-bug…œ∫£»˝≈©»»œﬂV1.0≤‚ ‘_1470654332.csv,16.0,16.0,1.0,124.0,124.0,1.0,0.0,0.0,0.0,76.0,48.0,0.0,0.0,0.0,26.0,41.0,
362-172-bug“ª±»∑÷V1.1.0≤‚ ‘_1470654365.csv,13.0,23.0,0.5652173913043478,37.0,172.0,0.21511627906976744,0.7848837209302326,0.6571803033139861,0.6571803033139861,147.0,-110.0,14.0,13.0,
366-206-bugÕ®¡…±Ãπ‘∞V2.07.160526≤‚ ‘_1470654364.csv,7.0,24.0,0.2916666666666667,26.0,206.0,0.1262135922330097,0.8737864077669903,0.43734814300590075,0.43734814300590075,172.0,-146.0,7.0,
348-467-bug”—∑˛…Ã≥«V1.0≤‚ ‘_1470654398.csv,51.0,58.0,0.8793103448275862,175.0,467.0,0.3747323340471092,0.6252676659528908,0.7308419012097269,0.7308419012097269,416.0,-241.0,0.0,0.0,0.0,34.0,61.0,59.0,
350-324-bugdr.wineV3.1.2≤‚ ‘_1470654390.csv,40.0,40.0,1.0,324.0,324.0,1.0,0.0,0.0,0.0,264.0,60.0,0.0,0.0,0.0,0.0,0.0,47.0,46.0,
351-123-bugFolderExplorerV1.0≤‚ ‘_1470654387.csv,5.0,17.0,0.29411764705882354,17.0,123.0,0.13821138211382114,0.8617886178861789,0.4385601985932975,0.4385601985932975,97.0,-80.0,5.0,
293-143-bug“ª∂»√€≤‚ ‘_1470654434.csv,19.0,20.0,0.95,52.0,143.0,0.36363636363636365,0.6363636363636364,0.7621776504297993,0.7621776504297993,85.0,-33.0,23.0,16.0,
226-325-÷£÷›µÿÃ˙∂˛Œ¨¬Îπ∫∆±≤‚ ‘_1463738008.csv,39.0,39.0,1.0,261.0,325.0,0.803076923076923,0.19692307692307698,0.32904884318766076,0.32904884318766076,261.0,0.0,66.0,36.0,28.0,26.0,
