project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal,
293-143-bug一度蜜测试_1470654434.csv,20.0,20.0,1.0,143.0,143.0,1.0,0.0,0.0,0.0,85.0,58.0,23.0,
226-325-郑州地铁二维码购票测试_1463738008.csv,30.0,39.0,0.7692307692307693,87.0,325.0,0.2676923076923077,0.7323076923076923,0.7503152585119798,0.7503152585119798,261.0,-174.0,30.0,
227-325-bug郑州地铁二维码购票测试_1470654508.csv,30.0,39.0,0.7692307692307693,87.0,325.0,0.2676923076923077,0.7323076923076923,0.7503152585119798,0.7503152585119798,261.0,-174.0,30.0,
230-217-bug易约爱测试_1470654510.csv,26.0,27.0,0.9629629629629629,132.0,217.0,0.6082949308755761,0.39170506912442393,0.5568854731006677,0.5568854731006677,162.0,-30.0,26.0,
231-217-易约爱测试_1463738003.csv,26.0,27.0,0.9629629629629629,132.0,217.0,0.6082949308755761,0.39170506912442393,0.5568854731006677,0.5568854731006677,162.0,-30.0,26.0,
212-404-经常直播内测版测试_1463737964.csv,43.0,50.0,0.86,119.0,404.0,0.29455445544554454,0.7054455445544554,0.7750932894820063,0.7750932894820063,267.0,-148.0,43.0,
161-270-凤凰视频beta版_1463737748.csv,21.0,31.0,0.6774193548387096,75.0,270.0,0.2777777777777778,0.7222222222222222,0.6991037131882202,0.6991037131882202,220.0,-145.0,21.0,
162-412-网上订餐软件测试_1463737768.csv,21.0,51.0,0.4117647058823529,62.0,412.0,0.15048543689320387,0.8495145631067962,0.554675118858954,0.554675118858954,326.0,-264.0,21.0,
154-186-BCHMS测试_1463737680.csv,18.0,26.0,0.6923076923076923,66.0,186.0,0.3548387096774194,0.6451612903225806,0.6679035250463822,0.6679035250463822,149.0,-83.0,18.0,
150-275-石榴网APP测试_1463737733.csv,21.0,34.0,0.6176470588235294,60.0,275.0,0.21818181818181817,0.7818181818181819,0.6901031715705006,0.6901031715705006,234.0,-174.0,21.0,
136-215-简明天气测试_1463737693.csv,18.0,24.0,0.75,65.0,215.0,0.3023255813953488,0.6976744186046512,0.7228915662650603,0.7228915662650603,154.0,-89.0,18.0,
127-271-365淘房测试_1463737634.csv,18.0,32.0,0.5625,78.0,271.0,0.2878228782287823,0.7121771217712177,0.6285507508594175,0.6285507508594175,235.0,-157.0,18.0,
115-157-天天红包测试_1463737606.csv,13.0,17.0,0.7647058823529411,66.0,157.0,0.42038216560509556,0.5796178343949044,0.6594202898550724,0.6594202898550724,122.0,-56.0,13.0,
119-337-急救快通测试_1463737643.csv,23.0,42.0,0.5476190476190477,64.0,337.0,0.18991097922848665,0.8100890207715133,0.6534838944684395,0.6534838944684395,288.0,-224.0,23.0,
124-326-衣批测试_1463737628.csv,35.0,40.0,0.875,144.0,326.0,0.44171779141104295,0.558282208588957,0.6816479400749065,0.6816479400749065,238.0,-94.0,35.0,
11-117-广告云推送调研测试_1463737325.csv,7.0,9.0,0.7777777777777778,54.0,117.0,0.46153846153846156,0.5384615384615384,0.6363636363636364,0.6363636363636364,94.0,-40.0,7.0,
